                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.3124,                0.69426,                 1.0676,                 0.8954,                0.83834,                0.90533,                0.45891,                 1.7213,                0.82924,                 1.2725,             0.00064905,             0.00064905,             0.00064905
                     65,                 1.3274,                0.68975,                  1.065,                0.89027,                0.85474,                0.90826,                0.44463,                 1.7597,                0.82692,                 1.3159,             0.00064171,             0.00064171,             0.00064171
                     66,                 1.2993,                 0.6938,                 1.0557,                 0.8941,                0.85317,                0.90824,                0.44391,                 1.7703,                0.84955,                 1.3269,             0.00063438,             0.00063438,             0.00063438
                     67,                  1.324,                0.68724,                 1.0633,                0.89106,                0.85802,                0.90658,                0.44806,                 1.7101,                0.86344,                 1.3025,             0.00062705,             0.00062705,             0.00062705
                     68,                  1.299,                0.68391,                 1.0566,                0.86298,                0.81686,                0.89546,                0.43523,                 1.7586,                0.88955,                 1.3285,             0.00061972,             0.00061972,             0.00061972
                     69,                  1.278,                 0.6785,                 1.0517,                0.86355,                0.85439,                0.89143,                0.43045,                 1.7718,                0.85526,                 1.3394,             0.00061238,             0.00061238,             0.00061238
                     70,                 1.2872,                0.67135,                 1.0604,                0.92465,                0.85245,                0.92493,                0.45076,                  1.741,                0.81423,                 1.3085,             0.00060505,             0.00060505,             0.00060505
                     71,                 1.2741,                0.66072,                  1.046,                0.93694,                0.85311,                0.91315,                0.44595,                 1.7104,                0.83459,                   1.29,             0.00059772,             0.00059772,             0.00059772
                     72,                 1.2875,                0.66968,                 1.0487,                0.90082,                0.85979,                0.90285,                0.44449,                 1.7624,                0.89219,                 1.3187,             0.00059039,             0.00059039,             0.00059039
                     73,                   1.26,                0.65393,                 1.0422,                0.88777,                 0.8536,                0.89811,                0.43301,                 1.7544,                0.86772,                  1.327,             0.00058305,             0.00058305,             0.00058305
                     74,                 1.2735,                0.65144,                 1.0521,                0.90617,                0.81932,                0.88977,                0.43574,                 1.7723,                0.86274,                 1.3276,             0.00057572,             0.00057572,             0.00057572
                     75,                 1.2653,                0.65169,                 1.0547,                0.91152,                0.87111,                0.92857,                0.45123,                 1.7471,                0.81573,                 1.3308,             0.00056839,             0.00056839,             0.00056839
                     76,                 1.2739,                0.65599,                 1.0518,                0.86753,                0.87392,                0.91241,                0.43872,                 1.7496,                0.81713,                 1.3122,             0.00056105,             0.00056105,             0.00056105
