                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                  1.383,                 0.7236,                 1.1715,                0.87931,                0.85825,                0.89061,                0.43274,                 1.7321,                0.83027,                 1.3904,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.3617,                0.70388,                  1.159,                0.89166,                0.83584,                0.87368,                0.43162,                 1.7596,                0.87063,                 1.3949,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.3418,                0.67946,                 1.1527,                 0.9145,                0.81637,                0.88929,                0.45222,                 1.7224,                 0.8464,                 1.3662,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.3412,                0.68566,                 1.1428,                0.91875,                0.86489,                  0.908,                0.45248,                 1.6969,                0.79317,                 1.3603,             0.00060505,             0.00060505,             0.00060505
                     48,                 1.3748,                0.72958,                 1.1724,                0.89581,                0.85435,                0.88533,                0.44997,                 1.7367,                0.84322,                 1.3714,             0.00059405,             0.00059405,             0.00059405
                     49,                 1.3422,                0.67737,                 1.1522,                0.90826,                0.84149,                0.90633,                0.44349,                 1.7345,                0.80676,                 1.3884,             0.00058305,             0.00058305,             0.00058305
                     50,                 1.3232,                0.65966,                 1.1382,                0.88735,                0.85773,                0.89838,                 0.4446,                  1.719,                0.79816,                 1.3762,             0.00057205,             0.00057205,             0.00057205
                     51,                 1.2949,                0.65776,                 1.1499,                0.89749,                0.80061,                0.86882,                0.43097,                 1.7346,                0.81877,                 1.3849,             0.00056105,             0.00056105,             0.00056105
                     52,                 1.3104,                0.67412,                 1.1454,                0.86966,                0.80369,                0.88769,                0.43455,                 1.7116,                0.81622,                  1.383,             0.00055006,             0.00055006,             0.00055006
                     53,                 1.3092,                0.65083,                 1.1379,                0.91612,                0.82476,                0.90444,                0.44429,                 1.7536,                0.82901,                 1.3936,             0.00053906,             0.00053906,             0.00053906
                     54,                   1.29,                0.64903,                 1.1352,                0.88096,                0.85824,                0.90422,                0.45116,                  1.721,                0.77923,                 1.3908,             0.00052806,             0.00052806,             0.00052806
                     55,                  1.282,                0.63598,                 1.1137,                 0.8785,                0.82914,                0.89042,                0.45441,                 1.6997,                0.77723,                  1.376,             0.00051706,             0.00051706,             0.00051706
                     56,                 1.2811,                0.64081,                 1.1264,                  0.918,                 0.8491,                0.91312,                0.45586,                 1.6891,                0.75777,                 1.3642,             0.00050606,             0.00050606,             0.00050606
                     57,                 1.2647,                0.63403,                 1.1119,                 0.8963,                0.81716,                0.89112,                 0.4504,                 1.7316,                0.84547,                 1.3879,             0.00049506,             0.00049506,             0.00049506
                     58,                 1.2842,                0.63616,                 1.1135,                0.88017,                 0.8373,                0.87299,                0.44494,                 1.6917,                0.82091,                 1.3756,             0.00048406,             0.00048406,             0.00048406
                     59,                 1.2279,                0.61972,                  1.108,                0.81566,                0.90093,                0.88402,                0.44849,                 1.7199,                0.81138,                 1.3845,             0.00047306,             0.00047306,             0.00047306
                     60,                 1.2415,                0.62599,                  1.096,                0.88463,                0.85207,                0.91158,                0.44548,                 1.7349,                0.77806,                 1.4029,             0.00046206,             0.00046206,             0.00046206
                     61,                 1.2417,                0.61215,                 1.0888,                0.89728,                0.83982,                0.90694,                0.44451,                 1.6954,                0.77159,                 1.3608,             0.00045107,             0.00045107,             0.00045107
                     62,                 1.2368,                0.61302,                  1.108,                 0.8799,                0.86561,                0.90871,                0.44757,                 1.6929,                0.77914,                 1.3728,             0.00044007,             0.00044007,             0.00044007
                     63,                 1.2198,                0.60864,                 1.1017,                0.86957,                0.86938,                 0.9039,                0.44932,                 1.6793,                0.73763,                  1.357,             0.00042907,             0.00042907,             0.00042907
                     64,                 1.2041,                0.59871,                 1.0915,                0.90274,                0.81499,                0.91045,                0.46829,                 1.6643,                 0.7423,                 1.3479,             0.00041807,             0.00041807,             0.00041807
                     65,                 1.2073,                0.59426,                  1.079,                 0.8825,                0.88284,                0.92063,                0.45984,                 1.6887,                0.75625,                 1.3829,             0.00040707,             0.00040707,             0.00040707
                     66,                 1.1845,                0.59038,                 1.0773,                0.89749,                0.85431,                0.92471,                0.45961,                 1.7253,                0.78603,                 1.4021,             0.00039607,             0.00039607,             0.00039607
                     67,                 1.2029,                0.58814,                  1.075,                 0.8817,                0.88377,                  0.916,                 0.4599,                 1.7132,                0.76741,                 1.4048,             0.00038507,             0.00038507,             0.00038507
                     68,                 1.1836,                0.58623,                  1.068,                0.91007,                0.85062,                0.92675,                0.46088,                 1.6922,                 0.7629,                 1.3805,             0.00037407,             0.00037407,             0.00037407
                     69,                  1.165,                0.57362,                  1.066,                0.88665,                0.84638,                0.90926,                0.45941,                   1.69,                0.79632,                  1.406,             0.00036307,             0.00036307,             0.00036307
                     70,                 1.1675,                0.56672,                 1.0748,                0.93082,                0.83842,                0.91122,                0.46242,                 1.7055,                0.77602,                 1.4125,             0.00035208,             0.00035208,             0.00035208
                     71,                 1.1564,                0.56497,                  1.059,                0.90854,                0.84802,                 0.9146,                0.45677,                 1.6928,                0.78466,                  1.405,             0.00034108,             0.00034108,             0.00034108
                     72,                 1.1482,                0.56689,                 1.0611,                0.90953,                0.85506,                0.91356,                0.46233,                   1.67,                 0.7974,                  1.387,             0.00033008,             0.00033008,             0.00033008
                     73,                 1.1293,                0.55397,                 1.0488,                0.88498,                0.84882,                0.90972,                0.46161,                 1.7017,                0.78805,                 1.4173,             0.00031908,             0.00031908,             0.00031908
                     74,                 1.1349,                0.54822,                 1.0586,                0.90791,                0.82691,                0.89787,                0.44759,                 1.7304,                0.78701,                 1.4292,             0.00030808,             0.00030808,             0.00030808
                     75,                 1.1235,                0.54704,                 1.0528,                0.89677,                0.86158,                0.91592,                 0.4748,                 1.6826,                0.82355,                 1.4007,             0.00029708,             0.00029708,             0.00029708
                     76,                 1.1302,                 0.5483,                 1.0496,                0.87605,                0.86789,                0.90807,                0.46243,                 1.7024,                0.77853,                  1.416,             0.00028608,             0.00028608,             0.00028608
                     77,                 1.1151,                0.53923,                 1.0416,                0.91445,                0.86627,                 0.9247,                0.45744,                 1.7215,                0.79912,                  1.419,             0.00027508,             0.00027508,             0.00027508
                     78,                 1.0936,                0.52698,                 1.0406,                0.88827,                0.89018,                0.91509,                0.46599,                 1.7126,                0.76079,                 1.4239,             0.00026408,             0.00026408,             0.00026408
                     79,                 1.1185,                0.53698,                 1.0481,                0.88341,                0.88998,                0.91389,                0.46946,                  1.684,                0.76438,                 1.4049,             0.00025309,             0.00025309,             0.00025309
                     80,                 1.0985,                 0.5352,                  1.038,                0.90536,                0.84508,                0.91877,                0.47205,                 1.6835,                0.75798,                 1.4139,             0.00024209,             0.00024209,             0.00024209
                     81,                 1.0878,                0.52249,                   1.04,                0.91065,                0.86449,                0.92064,                0.46488,                 1.7061,                 0.7774,                 1.4277,             0.00023109,             0.00023109,             0.00023109
                     82,                 1.0893,                0.53305,                 1.0588,                0.90214,                 0.8808,                0.92563,                0.46903,                 1.6901,                0.76756,                 1.4234,             0.00022009,             0.00022009,             0.00022009
                     83,                 1.0656,                0.51135,                 1.0296,                0.89932,                0.86195,                0.91648,                0.45843,                 1.6992,                0.79096,                 1.4188,             0.00020909,             0.00020909,             0.00020909
                     84,                 1.0657,                0.51195,                 1.0247,                0.90988,                 0.8846,                 0.9274,                0.46546,                 1.7087,                0.78354,                 1.4305,             0.00019809,             0.00019809,             0.00019809
                     85,                 1.0742,                0.51101,                 1.0244,                0.90479,                0.88119,                0.92685,                0.46584,                  1.731,                0.77257,                 1.4272,             0.00018709,             0.00018709,             0.00018709
                     86,                 1.0661,                0.51967,                 1.0187,                0.88702,                0.89443,                0.92111,                0.46523,                 1.7039,                 0.7434,                 1.4172,             0.00017609,             0.00017609,             0.00017609
                     87,                 1.0244,                0.55467,                 1.0011,                0.91664,                0.89701,                 0.9313,                0.46638,                 1.7241,                0.74425,                 1.4335,             0.00016509,             0.00016509,             0.00016509
                     88,                 1.0343,                 0.4988,                 1.0102,                0.93264,                0.89505,                0.93139,                0.47447,                 1.7309,                0.75853,                 1.4404,              0.0001541,              0.0001541,              0.0001541
                     89,                 1.0393,                0.51081,                 1.0133,                 0.9206,                 0.8924,                0.92165,                0.47133,                 1.7128,                0.76309,                 1.4367,              0.0001431,              0.0001431,              0.0001431
                     90,                  1.059,                0.48863,                  1.046,                0.90493,                0.85009,                0.89927,                0.46362,                 1.7323,                0.80522,                 1.4563,              0.0001321,              0.0001321,              0.0001321
                     91,                  1.005,                0.46842,                 1.0285,                0.89517,                0.87961,                0.91213,                0.45856,                 1.7222,                0.75849,                 1.4352,              0.0001211,              0.0001211,              0.0001211
                     92,                0.99926,                0.45944,                 1.0206,                0.91239,                0.87337,                0.91847,                 0.4655,                 1.7207,                0.76135,                 1.4424,              0.0001101,              0.0001101,              0.0001101
                     93,                0.98022,                0.45159,                 1.0217,                0.91202,                0.89495,                0.92649,                0.46359,                 1.7377,                0.75425,                 1.4503,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                 0.9544,                0.44075,                 1.0165,                0.89872,                0.90182,                0.93293,                0.46884,                 1.7259,                0.77423,                 1.4432,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                 0.9731,                0.46982,                 1.0296,                0.88851,                0.87042,                 0.9188,                0.46993,                 1.7177,                0.77114,                 1.4304,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                 0.9621,                0.44219,                 1.0056,                0.89565,                0.87807,                 0.9223,                0.46731,                  1.731,                 0.7521,                 1.4401,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.95837,                0.44086,                 1.0066,                0.90078,                0.90275,                0.93846,                0.46858,                 1.7452,                0.75494,                 1.4475,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.94038,                0.44048,                 1.0036,                0.90711,                0.90265,                0.93665,                0.47267,                 1.7469,                0.76047,                 1.4562,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                 0.9339,                 0.4329,                 1.0068,                0.89914,                0.89912,                0.93087,                0.47042,                 1.7327,                0.76662,                 1.4494,             3.3108e-05,             3.3108e-05,             3.3108e-05
