                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.5221,                0.86423,                 1.1018,                0.84269,                0.79603,                0.86234,                0.40155,                 1.7853,                0.95991,                 1.1946,             0.00074437,             0.00074437,             0.00074437
                     52,                 1.5015,                0.87402,                 1.0959,                0.82605,                0.81727,                0.84003,                0.38536,                 1.7684,                0.97225,                 1.2026,             0.00073704,             0.00073704,             0.00073704
                     53,                 1.5129,                0.86542,                 1.0905,                 0.8551,                0.80046,                0.85628,                0.40451,                 1.7975,                 0.9371,                  1.194,              0.0007297,              0.0007297,              0.0007297
                     54,                 1.5033,                0.85049,                 1.0961,                0.83276,                0.87733,                 0.8986,                 0.4077,                 1.7746,                0.90371,                 1.2002,             0.00072237,             0.00072237,             0.00072237
                     55,                 1.4945,                0.84653,                 1.0803,                0.84544,                0.79549,                0.85502,                0.41906,                 1.7426,                0.89726,                 1.1837,             0.00071504,             0.00071504,             0.00071504
                     56,                 1.5177,                0.84906,                 1.0902,                 0.8429,                0.85115,                0.87519,                0.39849,                 1.8184,                0.91848,                 1.2065,             0.00070771,             0.00070771,             0.00070771
                     57,                 1.5095,                0.86429,                 1.0852,                0.88012,                0.79407,                0.87659,                 0.4093,                 1.7685,                0.87507,                 1.1892,             0.00070037,             0.00070037,             0.00070037
                     58,                 1.4987,                0.83995,                 1.0795,                0.84108,                0.78484,                0.85389,                0.39962,                 1.7628,                0.89802,                 1.1816,             0.00069304,             0.00069304,             0.00069304
                     59,                 1.4663,                0.82007,                 1.0728,                0.79049,                0.84322,                0.86537,                0.41718,                 1.8133,                0.91888,                 1.2306,             0.00068571,             0.00068571,             0.00068571
                     60,                 1.4821,                0.83933,                 1.0781,                0.83334,                0.82785,                0.86846,                0.40912,                 1.7615,                0.92908,                 1.1898,             0.00067838,             0.00067838,             0.00067838
                     61,                 1.4781,                0.82308,                 1.0662,                0.82524,                0.72983,                0.79601,                0.39257,                 1.7786,                0.92414,                 1.2073,             0.00067104,             0.00067104,             0.00067104
                     62,                 1.4788,                0.82988,                  1.078,                0.87046,                0.82479,                0.87178,                0.40608,                 1.8431,                0.93279,                 1.2316,             0.00066371,             0.00066371,             0.00066371
                     63,                 1.4388,                0.81368,                 1.0629,                0.85299,                0.85432,                0.89484,                0.40562,                 1.7629,                0.88598,                 1.2043,             0.00065638,             0.00065638,             0.00065638
                     64,                 1.4372,                0.79652,                 1.0588,                 0.8429,                0.80038,                 0.8621,                0.40817,                 1.7832,                0.89428,                 1.2064,             0.00064905,             0.00064905,             0.00064905
