                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.3477,                0.69226,                 1.1587,                0.87475,                 0.8767,                0.91831,                0.45134,                  1.744,                 0.8342,                  1.391,              0.0007517,              0.0007517,              0.0007517
                     51,                   1.33,                0.68634,                 1.1656,                0.88391,                0.81623,                0.87897,                 0.4457,                 1.6998,                0.79883,                 1.3497,             0.00074437,             0.00074437,             0.00074437
                     52,                 1.3264,                0.70009,                 1.1574,                 0.8997,                0.89615,                0.92399,                0.45125,                 1.6741,                0.76798,                 1.3516,             0.00073704,             0.00073704,             0.00073704
                     53,                 1.3349,                0.69526,                 1.1519,                0.84389,                0.84043,                0.87819,                0.44674,                 1.7068,                0.78516,                 1.3506,              0.0007297,              0.0007297,              0.0007297
                     54,                 1.3142,                0.67499,                 1.1536,                0.88452,                0.84773,                0.91226,                0.45388,                 1.7163,                0.77152,                 1.3583,             0.00072237,             0.00072237,             0.00072237
                     55,                 1.3087,                0.66229,                 1.1318,                0.89711,                0.81546,                0.88932,                0.43692,                 1.7353,                0.78166,                 1.4048,             0.00071504,             0.00071504,             0.00071504
                     56,                 1.3067,                0.67115,                  1.144,                0.91847,                0.86637,                0.89044,                0.45127,                 1.7006,                  0.805,                 1.3783,             0.00070771,             0.00070771,             0.00070771
                     57,                 1.3047,                0.66642,                 1.1377,                 0.8999,                 0.8846,                0.91899,                0.44567,                 1.7105,                0.83187,                 1.3714,             0.00070037,             0.00070037,             0.00070037
                     58,                 1.3183,                0.66797,                 1.1324,                0.89967,                0.84176,                0.89478,                0.43995,                 1.7176,                0.80873,                 1.3958,             0.00069304,             0.00069304,             0.00069304
                     59,                 1.2642,                0.64546,                 1.1291,                0.83739,                0.83744,                0.87422,                0.42382,                 1.7634,                0.82415,                 1.4084,             0.00068571,             0.00068571,             0.00068571
                     60,                 1.2722,                0.64901,                  1.115,                0.82696,                0.85875,                0.88549,                0.43693,                 1.7437,                0.78334,                 1.4064,             0.00067838,             0.00067838,             0.00067838
                     61,                 1.2817,                0.65414,                 1.1142,                0.90067,                 0.8813,                0.91335,                0.45995,                 1.6749,                0.76894,                 1.3672,             0.00067104,             0.00067104,             0.00067104
                     62,                 1.2564,                0.63963,                  1.128,                0.89379,                0.87422,                0.90634,                0.46493,                 1.6693,                0.79629,                 1.3716,             0.00066371,             0.00066371,             0.00066371
                     63,                 1.2435,                0.63553,                  1.119,                0.90201,                0.86949,                0.91405,                0.45777,                 1.6607,                0.76243,                 1.3389,             0.00065638,             0.00065638,             0.00065638
                     64,                 1.2529,                0.63167,                 1.1134,                0.85668,                0.85687,                0.89279,                0.45947,                 1.6664,                0.75322,                 1.3677,             0.00064905,             0.00064905,             0.00064905
                     65,                 1.2561,                0.62942,                 1.1047,                0.91853,                 0.8647,                 0.9196,                0.45479,                  1.702,                0.77898,                 1.3845,             0.00064171,             0.00064171,             0.00064171
